PMU2 TR5b (°C), PMGR SOC Die Temp Sensor0 (°C), PMU tcal (°C), ANE MTR Temp Sensor1 (°C), PMU2 TR3d (°C), gas gauge battery (°C), pACC MTR Temp Sensor4 (°C), PMU tdie8 (°C), PMU tdie4 (°C), PMU tdev1 (°C), PMU2 TR5d (°C), PMU TP3w (°C), SOC MTR Temp Sensor2 (°C), pACC MTR Temp Sensor3 (°C), GPU MTR Temp Sensor1 (°C), PMU tdev8 (°C), gas gauge battery (°C), PMU2 TR2l (°C), PMU tdev5 (°C), SOC MTR Temp Sensor1 (°C), PMU2 TR0Z (°C), gas gauge battery (°C), pACC MTR Temp Sensor2 (°C), PMU2 TR4b (°C), pACC MTR Temp Sensor9 (°C), PMU tdev7 (°C), PMU tdie6 (°C), PMU tdev6 (°C), PMU2 TR8b (°C), PMU2 TR2d (°C), gas gauge battery (°C), PMU2 TR6b (°C), PMU tdie1 (°C), SOC MTR Temp Sensor0 (°C), PMU tdie7 (°C), eACC MTR Temp Sensor3 (°C), pACC MTR Temp Sensor8 (°C), PMU2 TR4d (°C), PMU2 TR7b (°C), PMU tdev2 (°C), NAND CH0 temp (°C), PMGR SOC Die Temp Sensor2 (°C), eACC MTR Temp Sensor0 (°C), PMU2 TR1l (°C), pACC MTR Temp Sensor7 (°C), PMU tdie5 (°C), GPU MTR Temp Sensor4 (°C), gas gauge battery (°C), PMU2 TR3b (°C), PMU tdev3 (°C), PMGR SOC Die Temp Sensor1 (°C), ISP MTR Temp Sensor5 (°C), pACC MTR Temp Sensor5 (°C), PMU tdev4 (°C), PMU tdie2 (°C), PMU2 TR1d (°C), gas gauge battery (°C)
45.338470, 42.734375, 51.850006, 30.000000, 41.581528, 32.699997, 42.421875, 42.012650, 43.621918, 37.085587, 37.716217, 44.480194, 44.500000, 41.625000, 40.812500, 38.698212, 32.899994, 45.874893, -21.813797, 43.125000, 51.850006, 32.000000, 43.781250, 45.553040, 42.875000, 40.380447, 43.836487, 35.256760, 46.196747, 34.459854, 32.899994, 45.123901, 44.158340, 43.078125, 44.158340, 41.125000, 43.546875, 38.563065, 44.480194, 43.021744, 37.000000, 42.265625, 41.375000, 45.016617, 41.890625, 43.407349, 42.671875, 32.000000, 44.587479, 43.500000, 42.765625, 30.000000, 42.609375, -21.775696, 41.905365, 40.048920, 32.899994
45.660324, 42.734375, 51.850006, 30.000000, 41.195663, 32.699997, 42.421875, 41.047089, 43.085495, 37.085587, 37.716217, 43.943771, 44.500000, 41.625000, 40.812500, 38.594604, 32.899994, 45.123901, -21.705902, 43.125000, 51.850006, 32.000000, 43.781250, 44.694763, 42.875000, 39.941452, 43.621918, 35.360367, 45.874893, 34.543808, 32.899994, 45.123901, 44.587479, 43.078125, 43.621918, 41.125000, 43.546875, 38.288300, 45.660324, 42.586960, 37.000000, 42.265625, 41.375000, 45.553040, 41.890625, 42.334503, 42.671875, 32.000000, 44.480194, 43.239136, 42.765625, 30.000000, 42.609375, -21.762909, 41.798080, 39.774780, 32.899994
44.480194, 42.734375, 51.850006, 30.000000, 41.195663, 32.699997, 42.421875, 41.905365, 41.905365, 37.261276, 37.819824, 43.836487, 44.500000, 41.625000, 40.812500, 38.378387, 32.899994, 45.123901, -21.826584, 43.125000, 51.850006, 32.000000, 43.781250, 45.338470, 42.875000, 40.309784, 43.621918, 35.360367, 45.231186, 34.459854, 32.899994, 44.694763, 44.480194, 43.078125, 43.729202, 41.125000, 43.546875, 38.454956, 45.016617, 42.456528, 37.000000, 42.265625, 41.375000, 45.445755, 41.890625, 43.407349, 42.671875, 32.000000, 44.372910, 42.934784, 42.765625, 30.000000, 42.609375, -21.775696, 42.441788, 39.563065, 32.899994
45.445755, 42.156250, 51.850006, 30.000000, 40.885880, 32.699997, 40.984375, 42.012650, 42.227219, 37.085587, 37.716217, 44.158340, 42.875000, 40.109375, 30.000000, 38.378387, 32.899994, 45.338470, -21.820190, 41.781250, 51.850006, 32.000000, 44.546875, 45.123901, 41.406250, 39.990997, 43.621918, 35.441452, 44.802048, 34.302933, 32.899994, 44.694763, 44.158340, 42.671875, 43.300064, 40.937500, 43.046875, 38.563065, 44.694763, 42.201096, 37.000000, 41.687500, 40.203125, 45.123901, 40.015625, 42.012650, 30.000000, 32.000000, 44.265625, 42.717392, 42.203125, 30.000000, 41.875000, -21.655289, 41.583511, 39.617126, 32.899994
45.231186, 42.156250, 51.850006, 30.000000, 41.070663, 32.699997, 40.984375, 40.188812, 43.192780, 37.261276, 37.927933, 44.158340, 42.875000, 40.109375, 30.000000, 38.270279, 32.899994, 45.445755, -21.826584, 41.781250, 51.850006, 32.000000, 44.546875, 45.231186, 41.406250, 39.774780, 42.870926, 35.360367, 45.231186, 34.459854, 32.899994, 45.016617, 43.085495, 42.671875, 43.407349, 40.937500, 43.046875, 38.454956, 44.694763, 42.070663, 37.000000, 41.687500, 40.203125, 45.445755, 40.015625, 43.621918, 30.000000, 32.000000, 44.158340, 42.586960, 42.203125, 30.000000, 41.875000, -21.775696, 42.012650, 39.617126, 32.899994
45.016617, 42.156250, 51.850006, 30.000000, 40.815231, 32.599991, 40.984375, 41.154373, 43.085495, 36.869370, 37.716217, 42.870926, 42.875000, 40.109375, 30.000000, 38.270279, 32.899994, 45.123901, -21.826584, 41.781250, 51.850006, 32.000000, 44.546875, 43.943771, 41.406250, 39.671173, 41.690796, 35.441452, 44.694763, 34.543808, 32.899994, 44.587479, 43.943771, 42.671875, 43.192780, 40.937500, 43.046875, 38.454956, 44.802048, 41.809784, 37.000000, 41.687500, 40.203125, 44.802048, 40.015625, 42.870926, 30.000000, 32.000000, 44.158340, 42.380447, 42.203125, 30.000000, 41.875000, -21.769302, 41.690796, 39.617126, 32.899994
44.802048, 41.453125, 51.850006, 30.000000, 40.690231, 32.599991, 45.984375, 40.296097, 42.549072, 37.225235, 37.716217, 43.621918, 43.984375, 50.734375, 30.000000, 38.441452, 32.899994, 45.123901, -21.845764, 41.781250, 51.850006, 32.000000, 50.093750, 44.694763, 42.296875, 39.725235, 42.119934, 35.256760, 44.694763, 34.459854, 32.899994, 44.909332, 44.587479, 41.750000, 44.802048, 41.453125, 44.875000, 38.454956, 44.158340, 41.679352, 37.000000, 40.828125, 40.843750, 45.123901, 39.375000, 42.441788, 30.000000, 32.000000, 44.051056, 42.201096, 41.250000, 30.000000, 42.312500, -21.782089, 43.836487, 39.301804, 32.899994
44.694763, 41.453125, 51.850006, 30.000000, 40.690231, 32.599991, 45.984375, 45.016617, 45.874893, 37.369370, 37.716217, 45.445755, 43.984375, 50.734375, 30.000000, 38.054062, 32.899994, 45.016617, -21.980545, 41.781250, 51.850006, 32.000000, 50.093750, 44.802048, 42.296875, 40.771744, 45.445755, 35.256760, 44.802048, 34.459854, 32.899994, 45.016617, 47.162308, 41.750000, 49.415298, 41.453125, 44.875000, 38.454956, 44.694763, 42.380447, 38.000000, 40.828125, 40.843750, 43.729202, 39.375000, 48.127869, 30.000000, 32.000000, 43.729202, 45.226669, 41.250000, 30.000000, 42.312500, -21.807404, 50.273575, 39.405411, 32.899994
44.802048, 41.453125, 51.850006, 30.000000, 40.690231, 32.599991, 45.984375, 47.269592, 47.698730, 37.882889, 37.716217, 47.269592, 43.984375, 50.734375, 30.000000, 37.945953, 32.899994, 45.231186, -21.883850, 41.781250, 51.850006, 32.000000, 50.093750, 44.265625, 42.296875, 42.847839, 47.269592, 35.441452, 43.836487, 34.459854, 32.899994, 44.694763, 48.986160, 41.750000, 53.277542, 41.453125, 44.875000, 38.454956, 44.694763, 43.500000, 37.000000, 40.828125, 40.843750, 45.231186, 39.375000, 51.131851, 30.000000, 32.000000, 44.158340, 48.593338, 41.250000, 30.000000, 42.312500, -21.813797, 53.599396, 39.301804, 32.899994
45.123901, 45.781250, 51.850006, 30.000000, 40.690231, 32.599991, 64.234375, 48.557007, 48.449722, 38.594604, 37.819824, 48.557007, 59.125000, 69.265625, 30.000000, 38.054062, 32.899994, 45.016617, -21.877457, 50.109375, 51.850006, 32.000000, 66.906250, 45.123901, 67.437500, 44.353271, 49.093445, 35.522537, 44.694763, 34.543808, 32.899994, 43.192780, 50.273575, 46.609375, 54.135818, 50.671875, 69.578125, 38.454956, 44.694763, 44.277176, 38.000000, 56.000000, 50.062500, 45.123901, 63.656250, 51.560989, 30.000000, 32.000000, 44.480194, 49.700012, 48.562500, 30.000000, 56.859375, -21.820190, 54.564957, 39.405411, 32.899994
